Unnamed: 0,번호,제목,저자,출판사,출판일
,24,Research in information systems: a study of diversity and inter-disciplinary discourse in the AIS basket journals between 1995 and 2011,"Bernroider, E. W.; Pilkington, A.; Cordoba, J. R.",Palgrave Macmillan,2013
,25,Advertisement Placement in Online Knowledge: The Effect of Advertisement Placement on Perceived Information Quality and Reuse of Online Q&amp;A Services,"Kim, H.; Zo, H.",Red Hook; Curran,2011
,26,ASIA Impairment Scale (AIS) E Convertors Following Activity Restorative Based Therapies - A Pragmatic Cure in Spinal Cord Injury: A Case Series,"Cabahug, P.; Recio, A.; McDonald, J. W.","Elsevier Science B.V., Amsterdam",2013
,27,"I, teacher: using artificial intelligence (AI) and social robots in communication and instruction","Edwards, Chad; Edwards, Autumn; Spence, Patric R.; Lin, Xialing",Taylor & Francis,2018
,28,Improving Usability Perception of Error-Prone AI Speakers: Elaborated Feedback Mitigates Negative Consequences of Errors,"Lee, Dasom; Sah, Young June; Lee, Sangwon",Taylor & Francis,2019
,29,Syntactic complexity in college-level English writing: Differences among writers with diverse L1 backgrounds,"Lu, X.; Ai, H.","Elsevier Science B.V., Amsterdam.",2015
,30,"ADAMTS13 Autoantibodies, Antigen and Proteolytic Activity in Patients with Thrombotic Thrombocytopenic Purpura. (Poster # 846-II)","Shelat, S. G.; Smith, P.; Ai, J.; Zheng, X. L.",ASH,2005
,31,Humans and Machines in the Evolution of AI in Korea,"Zhang,  Byoung-Tak",AAAI AMERICAN ASSOCIATION OF ARTIFICIAL,2016
,32,"Effects of a T'ai Chi-Based Health Promotion Program on Metabolic Syndrome Markers, Health Behaviors, and Quality of Life in Middle-Aged Male Office Workers: A Randomized Trial",unknown,"Mary Ann Liebert, Inc.",2017
,33,FinTech Is Merging with IoT and AI to Challenge Banks: How Entrenched Interests Can Prepare,"Schulte,  Paul; Liu,  Gavin",INSTITUTIONAL INVESTOR INC.,2018
,34,AI Magazine Poster: The AI Landscape,"Leake, D.B.",AAAI AMERICAN ASSOCIATION OF ARTIFICIAL,2008
,35,AI With Deep Learning Technology Looks Into Diabetic Retinopathy Screening,"Wong,  T. Y.; Bressler,  N. M.",AMA AMERICAN MEDICAL ASSOCIATION,2016
,36,Augmenting Resource Management Education with AI Technologies,"Gimblett, H. R.",AI APPLICATIONS,1997
,37,"Ai Weiwei, Art, and Rights in China","Worden,  Minky",NEW SCHOOL FOR SOCIAL RESEARCH,2016
,38,"AI: man, machines and love","Komninou, E.","Elsevier Science B.V., Amsterdam.",2003
,39,Outcomes of Thrombolytic Therapy for Acute Ischemic Stroke in Chinese Patients: The Taiwan Thrombolytic Therapy for Acute Ischemic Stroke (TTT-AIS) Study,"Chao, A.-C.; Hsu, H.-Y.; Chung, C.-P.; Liu, C.-H.; Chen, C.-H.; Teng, M.M.-H.; Peng, G.-S.; Sheng, W.-Y.; Hu, H.H.; Taiwan Thrombolytic Therapy for Acute Ischemic Stroke (TTT-AIS) Study Group",AMERICAN HEART ASSOCIATION INC,2010
,40,The Analysis of One-Person Households' Consumption Structure by AI Demand System,"Nganga, N.",JAPAN SOCIETY OF HOME ECONOMICS,2007
,41,Numerical Simulation of Coupling Storm Surge and Astronomic Tide Based on Delft 3D,"Ao, C.; Wang, Z. B.; Jia ai, T.","Beijing:; China Ocean Press,",2004
,42,Reconstructing Mozi's Jian'ai [non-Roman script word],"Back,  Youngsun",UNIVERSITY OF HAWAII PRESS,2017
,43,The automation of bias in medical Artificial Intelligence (AI): Decoding the past to create a better future,"Straw, Isabel","Elsevier Science B.V., Amsterdam.",2020
,44,AI & Food: New Hopes?,unknown,CNS Media BV,2018
,45,FVIII-specific human chimeric antigen receptor T-regulatory cells suppress T- and B-cell responses to FVIII,"Yoon,  Jeongheon; Schmidt,  Anja; Zhang,  Ai-Hong; Königs,  Christoph; Kim,  Yong Chan; Scott,  David W.",AMERICAN SOCIETY OF HEMATOLOGY,2017
,46,RINGRAZIAMENTO AI REFEREE DELLA NUOVA E&amp;P Acknowledgements to referees,unknown,unknown,2013
,47,From AlphaGo to Power System AI: What Engineers Can Learn from Solving the Most Complex Board Game,"Li, F.; Du, Y.",IEEE,2018
,48,Structural Equation Modeling (SEM) Using SmartPLS Software: Analyzing Path Models Using Partial Least Squares (PLS) Based SEM,"Hubona, G.",New York; Curran,2009
,49,AI: The Tumultuous History of the Search for Artificial Intelligence,"Eisenecker, U.",IOS-INTERNATIONAL ORGANIZATIONS SERVICES BV,1995
,50,"VR Gloves, Brain-Mimicking AI, and More","Patel,  Neel V.",CARNEGIE ENDOWMENT FOR INTERNATIONAL PEACE,2016
,51,"Imitative Identity, Imitative Art, and AI: Artificial Intelligence","Jackson,  Tony E.",MOSAIC,2017
,52,Socializing Online in Various Cultural Contexts: A Cross Nation Study of Social Network Service Development,"Guo, C.; Yu, J.",New York; Curran,2009
,53,IoT·AI·第四次産業革命と特殊鋼及び流通はいかに向き合うか : 特殊鋼の主要用途である自動車の電化シフトを例に考察 (特集 IoT社会と特殊鋼) -- (IoTへの各業界の取組み·製品での対応と課題·関連技術動向),髙橋 圭三,特殊鋼俱樂部,2018
,54,A Proposal for the Dartmouth Summer Research Project on Artificial Intelligence,"McCarthy, J.; Minsky, M. L.; Rochester, N.; Shannon, C. E.",AAAI AMERICAN ASSOCIATION OF ARTIFICIAL,2006
,55,Pedagogic Resources for Artificial Intelligence in the Undergraduate Computer Science Curriculum,"Manaris, B.; Russell, I.",The Society,1996
,56,AI Is Driving New Business Models: How Do We Adapt?,"Ramesh,  Raj",CUTTER CONSORTIUM,2018
,57,Marketing AI recruitment: The next phase in job application and selection,"van Esch, Patrick; Black, J. Stewart; Ferolie, Joseph","Elsevier Science B.V., Amsterdam.",2019
,58,AI Opportunities in Maths Education,Shotsberger,Moray House Institute of Education,1993
,59,AI ISN'T THE DEATH OF JOBS,"Bughin, Jacques",SLOAN MANAGEMENT REVIEW ASSOCIATION,2018
,60,"Empathy, Education and AI","Rossi, P. G.; Fedeli, L.",Springer,2015
,61,COVID-19 IMPACT: AI-INSPIRED DIGITAL TRANSFORMATION,"Wuest, Thorsten; Kusiak, Andrew; Dai, Tinglong; Tayur, Sridhar",INSTITUTE FOR OPERATIONS RESEARCH AND THE MANAGEMENT,2020
,62,"AI Engineers: The autonomous-vehicle industry wants you: Cruise&#x0027;s AI chief, Hussein Mehanna, talks jobs, careers, and self-driving cars - [Spectral Lines]",unknown,IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2019
,63,Electroconvulsive Therapy in Schizophrenia in China,"Li, Qian; Su, Yun-Ai; Xiang, Yu-Tao; Shu, Liang; Yu, Xin; Ungvari, Gabor S.; Seiner, Stephen J.; Chiu, Helen F.K.; Ning, Yu-Ping; Wang, Gao-Hua; Zhang, Ke-Rang; Li, Tao; Sun, Li-Zhong; Shi, Jian-Guo; Chen, Xian-Sheng; Mei, Qi-Yi; Li, Ke-Qing; Si, Tian-Mei",Lippincott Williams and Wilkins,2017
,64,"A Study of Exhibition Service Quality, Perceived Value, Emotion, Satisfaction, and Behavioral Intentions","Wu,  Hung-Che; Cheng,  Ching-Chan; Ai,  Chi-Han",Cognizant Communication Corporation,2016
,65,Information Technology and Systems (IT&S) as Tools: Cultural Bias and the Implications for International Technology Transfer (ITT)?,"Bunker, D.",AIS,1998
,66,"ROBERT ALDRICH: ""Contribution Française à la Connaissance Géographique des 'Mers du Sud': Bibliographie des Principaux Travaux Scientifiques Français Traitant des Océans Pacifique et Indien, des Mers Australes et de leurs Iles"" (Book Review)","Doumenge, François",Oceania Publications,1990
,67,AIS-Satellite Data Used for Arctic Trafficability Studies in the NE-Passage,"Kjerstad, N.","Cupertino, Calif; International Society of Offshore and Polar Engineers",2011
,68,The role of the DIERS 4D formetric system in objectively quantifying the deformity seen in adolescent idiopathic scoliosis (AIS),"Lambert, Amy; Cole, Ashley; Breakwell, Lee; Michael, A.L. Rex","Elsevier Science B.V., Amsterdam.",2016
,69,Artificial Intelligence (AI) and Big Data for Coronavirus (COVID-19) Pandemic: A Survey on the State-of-the-Arts,"Pham, Quoc-Viet; Nguyen, Dinh C.; Huynh-The, Thien; Hwang, Won-Joo; Pathirana, Pubudu N.",IEEE,2020
,70,Hierarchical MoS2 nanosheets integrated Ti3C2 MXenes for electrocatalytic hydrogen evolution,"Huang, Lan; Ai, Lunhong; Wang, Mei; Jiang, Jing; Wang, Shaobin","Elsevier Science B.V., Amsterdam.",2019
,71,Witness and presence in the work of Pierre Huyghe,"Meulen, S.",SPRINGER VERLAG KG,2012
,72,Social Work Thinking for UX and AI Design,"Patton, Desmond Upton","ASSOCIATION FOR COMPUTING MACHINERY, INC.",2020
,73,Appliance Call-Center: A Successful Mixed-Initiative Case Study,"Cheetham, W.; Goebel, K.",AAAI AMERICAN ASSOCIATION OF ARTIFICIAL,2007
,74,5225 An Extended Model for Ion Charge State Distribution of Plasmas in Collisional Radiative Steady State,"Yao-Yong, D.; Yong-Hui, G.; Ai-Ci, Q.; Gang, W.",KEXUE CHUBANSHE,2010
,75,"AI in Law Practice? So far, not much","Oskamp, A.; Lauritsen, M.",Kluwer Academic Publishers,2002
,76,Ai Weiwei and his jailers Artistic licence,unknown,ECONOMIST NEWSPAPER LTD,2012
,77,Experiencing AI in ``Detroit: Become Human'',"Miyake, Youichiro",Japanese Society for Artificial Intelligence,2019
,78,Ai Weiwei's Humane Conceptualism,"Coggins, D.",ART IN AMERICA,2007
,79,"Polydopamine and Its Derivative Materials: Synthesis and Promising Applications in Energy, Environmental, and Biomedical Fields","Liu, Y.; Ai, K.; Lu, L.",ACS AMERICAN CHEMICAL SOCIETY,2014
,80,Self‐driving cars and AI‐assisted endoscopy: Who should take the responsibility when things go wrong?,"Poon, Nicholas CH; Sung, Joseph JY",John Wiley & Sons Ltd,2019
,81,Serious Games Get Smart: Intelligent Game-Based Learning Environments,"Lester, J.C.; Ha, E.Y.; Lee, S.Y.; Mott, B.W.; Rowe, J.P.; Sabourin, J.L.",AAAI AMERICAN ASSOCIATION OF ARTIFICIAL,2013
,82,AI and Fake News,"Cybenko, Anne K.",COMPUTER SOCIETY,2019
,83,DARPA's Explainable Artificial Intelligence Program,"Gunning, David; Aha, David W.",AAAI AMERICAN ASSOCIATION OF ARTIFICIAL,2019
,84,Ai Weiwei at the Hirshhorn Museum,"Schjeldahl, P.",NEW YORKER MAGAZINE INC,2012
,85,Year One of the IBM Watson AI XPRIZE: Case Studies in ``AI for Good'',"McGregor, Sean; Banifatemi, Amir",AAAI AMERICAN ASSOCIATION OF ARTIFICIAL,2018
,86,"Trust, transparency, and openness: How inclusion of cultural values shapes Nordic national public policy strategies for artificial intelligence (AI)","Robinson, Stephen Cory","Elsevier Science B.V., Amsterdam.",2020
,87,A New AI Evaluation Cosmos: Ready to Play the Game?,"Hernández-Orallo,  José; Baroni,  Marco; Bieger,  Jordi; Chmait,  Nader; Dowe,  David L.; Hofmann,  Katja; Martínez-Plumed,  Fernando; Strannegård,  Claes; Thórissons,  Kristinn R.",AAAI AMERICAN ASSOCIATION OF ARTIFICIAL,2017
,88,AI in Business and Management: Intelligent systems for the legal profession,"Warkentin, M. E.","KNOWLEDGE TECHNOLOGY, INC.",1994
,89,Community Digital Storytelling for Collective Intelligence: towards a Storytelling Cycle of Trust,"Copeland, S.; de Moor, A.",SPRINGER VERLAG KG,2018
,90,Ai Weiwei: Unilever Commission The Chinese artist has become one of the most important cultural commentators of his generation,"Lu, C.Y.",NOT KNOWN,2010
,91,Psychological stress and related factors in undergraduate nursing students during the COVID-19 epidemic,"Ai, Yating; Wang, Yuncui; Xiao, Jie; Tao, Jing; Ren, Hairong; Wang, Zaichao; He, Huijuan; Hu, Hui",CHINESE ASSOCIATION FOR MENTAL HEALTH,2020
,92,"Natural Language Understanding (NLU, not NLP) in Cognitive Systems","McShane,  Marjorie",AAAI AMERICAN ASSOCIATION OF ARTIFICIAL,2017
,93,Beyond the age of innocence,"Ennals, R.",SPRINGER VERLAG KG,2016
,94,Collaborative Information Systems Requirements Elicitation: Discovering Behavioral Requirements Using Scenarios,"Hickey, A. M.",AIS,1998
,95,Avoiding Another AI Winter,"Hendler, J.",COMPUTER SOCIETY,2008
,96,"Research progress of Gastrodiae Rhizoma machining processing, composition analysis and in vivo metabolism","Yang, Fei; Wang, Xin; Ma, Chuan-jiang; Chen, Ya-hui; Sun, Ai-ping; Jia, Jing; Cao, Guang-shang; Xin, Yi-zhou; Zhang, Xue-shun",ACADEMY OF TRADITIONAL CHINESE MEDICINE,2018
,97,AI and Music: From Composition to Expressive Performance,"de Mantaras, R. L.; Arcos, J. L.",AAAI AMERICAN ASSOCIATION OF ARTIFICIAL,2002
,98,Dynamic Game Difficulty Scaling Using Adaptive Behavior-Based AI,"Tan, C. H.; Tan, K. C.; Tay, A.",Institute of Electrical & Electronics Engineers,2011
,99,Charging Voltage Limit Effects on the Electro-Chemical Behavior of High Capacity Manganese-Rich Cathode in Lithium Ion Batteries,"Mao,  Wen-feng; Fu,  Yanbao; Ai,  Guo; Battaglia,  Vince",Electrochemical Society,2015
,100,AI in Contact Centers,Keith Kirkpatrick,ACM : Association for Computing Machinery,2017
,1,"Key Performance Indicators Framework - A Method to Track Business Objectives, Link Business Strategy to Processes and Detail Importance of Key Performance Indicators in Enterprise Business Architecture","Ganesan, E.",New York; Curran,2009
,2,Immunity Through Swarms: Agent-Based Simulations of the Human Immune System,"Jacob, C.; Litorco, J.; Lee, L.",Berlin; London; Springer,2004
,3,The AI Singularity and Runaway Human Intelligence,"Prescott, T.J.",SPRINGER-VERLAG,2013
,4,Power to the People: The Role of Humans in Interactive Machine Learning,"Amershi, S.; Cakmak, M.; Knox, W.B.; Kulesza, T.",AAAI AMERICAN ASSOCIATION OF ARTIFICIAL,2014
,5,"""Understanding Music with AI: Perspectives on Music Cognition"", ed. Mira Balaban, Kemal Ebcioglu, and Otto Laske (Book Review)","SELFRIDGE-FIELD, ELEANOR",Music Library Association,1994
,6,A Candidate Generation System Using Probability Matrix in Computer Go,"Kim, Y. S.;Yoo, K. Y.",CSREA Press,1999
,7,Artificial Intelligence in the Real World: A Critical Perspective,"Rosenberg, R. S.",CSCSI,1992
,8,Energy transfer and correlation dynamics in a three-quasi-spin-pigment system,"Yin-Ping, Z.; Hong-Rong, L.; Ai-Ping, F.; Hao, C.; Fu-Li, L.",IOP PUBLISHING,2013
,9,Predictors and correlations of phthalate metabolite concentrations in urine and seminal plasma among reproductive-aged men,"Wang, Yi-Xin; Liu, Chong; Chen, Ying-Jun; Chen, Heng-Gui; Yang, Pan; Wang, Peng; Huang, Li-Li; Ai, Song-Hua; Duan, Peng; Pan, An; Zeng, Qiang; Lu, Wen-Qing","Elsevier Science B.V., Amsterdam",2018
,10,Understanding the elder abuse by family members,"Liu, N.; Ai, X.; Cao, Y.",Central South University (Medical Sciences),2012
,11,Effect of Amount of Functionalised Carbon Nanofibres in Polyurethane Dispersions,"Orgiles-Calpena, E.; Aran-Ais, F.; Torro-Palau, A.M.; Orgiles-Barcelo, C.",Rapra Technology Limited,2012
,12,"Covid-19, dans les brouillards français de l'hydroxychloroquine","Nau, J.-Y.",Publisher unknown,2020
,13,Feasibility of an evolutionary artificial intelligence (AI) scheme for modelling of load settlement response of concrete piles embedded in cohesionless soil,"Jebur, Ameer A.; Atherton, William; Al Khaddar, Rafid M.",Taylor & Francis,2018
,14,An adaptive kernel-based weighted extreme learning machine approach for effective detection of Parkinson's disease,"Wang, Yang; Wang, An-Na; Ai, Qing; Sun, Hai-Jing",ELSEVIER SCIENCE B.V. AMSTERDAM,2017
,15,On the promotion of safe and socially beneficial artificial intelligence,"Baum, S. D.",SPRINGER VERLAG KG,2017
,16,"A Randomized Study of the Effects of T'ai Chi on Muscle Strength, Bone Mineral Density, and Fear of Falling in Women with Osteoarthritis","Song, R.; Roberts, B. L.; Lee, E. O.; Lam, P.","Mary Ann Liebert, Inc.",2010
,17,Toward an Ethics of AI Assistants: an Initial Framework,"Danaher, John.",Springer Netherlands,2018
,18,PAElla : Edge AI-Based Real-Time Malware Detection in Data Centers,"Libri, Antonio; Bartolini, Andrea; Benini, Luca",IEEE,2020
,19,"Information Systems (IS) Education: The IS Discipline, The Joint DPMA, ACM and AIS Model Curriculum, and Challenges: Using IS '95, Active Learning, Advancing Technology, and Accreditation of Programs of Information Systems","Longenecker, H. E.",University of Wisconsin,1996
,20,AI at the Edge: Blockchain-Empowered Secure Multiparty Learning With Heterogeneous Models,"Wang, Qianlong; Guo, Yifan; Wang, Xufei; Ji, Tianxi; Yu, Lixing; Li, Pan",IEEE,2020
,21,LIMEX: An Integrated Expert System for Lime Crop Management,"Mahmoud, M.; El-Araby, K.; Rafea, A.",Elsevier,1995
,22,Intégrer les variétés de français de l'espace francophone dans l'enseignement/apprentissage du FLE,"Jeanmaire,  Guillaume",AMERICAN ASSOCIATION OF TEACHERS OF FRENCH,2017
,23,Ai Weiwei: China's troublesome talent,"Hilton,  Isabel",PROSPECT PUBLISHING LTD,2015
,24,Thesis: Qualitative distances and qualitative description of images for indoor scene description and recognition in robotics,"Falomir, Z.",IOS-INTERNATIONAL ORGANIZATIONS SERVICES BV,2012
,25,Human Language Technology and Knowledge Management,"Maybury, M. T.",American Association for Artificial Intelligence,2002
,26,AI-based project risk management process for a kind of manufacturing alliance,"Cao, H.",INDERSCIENCE ENTERPRISES LTD,2008
,27,"""Annales de l'Institut d'Etudes Orientales"" de Argel, XII; ""Arabica,"" II-1; ""Ars Orientalis,"" I; ""Bulletin d'Etudes Orientales de l'Institut Français de Damas,"" XIV; ""Bulletin of the School of Oriental and African Studies,"" XVII-1; ""Cuadernos de Historia Mundial,"" II-2; The Islamic Quarterly, II-1; Journal of the Royal Asiatic Society of Great Britain and Ireland, 1955-1 y 2; Al Machriq, XL-2; Mayallat al Mayma al-ilmi al-arabi: Dimišq, XXX-1 y 2; Studia Islamica, III; Tamada, II-2; Die Wel",UNKNOWN,Consejo Superior de Investigaciones Cientificas,1955
,28,The Sorcerer and the Apprentice. Human-Computer Interaction Today,"Oberschelp, W.",SPRINGER VERLAG KG,1998
,29,The Synergy of Learning Organisations and Flexible Information Technology,"Rzevski, G.",SPRINGER VERLAG KG,1998
,30,Maritime pattern extraction and route reconstruction from incomplete AIS data,"Dobrkovic, A.; Iacob, M. E.; Hillegersberg, J.",Springer Science + Business Media,2018
,31,Building a pedagogy around action and emotion: experiences of Blind Opera of Kolkata,"Saha, B.; Gangopadhyay, S.",SPRINGER VERLAG KG,2007
,32,Art and materiality in the global refugee crisis: Ai Weiwei's artworks and the emerging aesthetics of mobilities,"Barry, Kaya",Taylor & Francis,2019
,33,The floral scent of Ficus pumila var. pumila and its effect on the choosing behavior of pollinating wasps of Wiebesia pumilae,"Chen, You-ling; Huang, Mei-li; Wu, Wen-shan; Wang, Ai-fang; BAO, Tiantian; Zheng, Cui-fang; Chou, Lien-siang; Tzeng, Hsy-yu; Tu, Shu-wen",ELSEVIER SCIENCE B.V. AMSTERDAM,2016
,34,Rhaponticum uniflorum inhibits H~2O~2-induced apoptosis of liver cells via JNK and NF-κB pathways,"He,  Xin; Liu,  Chun-yan; Yin,  Ji-feng; Jin,  Ai-hua; Yin,  Xue-zhe; Quan,  Ji-shu",ACADEMY OF TRADITIONAL CHINESE MEDICINE,2017
,35,AI-2 analogs and antibiotics: a synergistic approach to reduce bacterial biofilms,"Roy, V.; Meyer, M. T.; Smith, J. A.; Gamby, S.; Sintim, H. O.; Ghodssi, R.; Bentley, W. E.",Springer Science + Business Media,2013
,36,Mapping of quantitative trait loci controlling adaptive traits in coastal Douglas-fir. IV. Cold-hardiness QTL verification and candidate gene mapping,"Wheeler, N. C.; Jermstad, K. D.; Krutovsky, K.; Aitken, S. N.; Howe, G. T.; Krakowski, J.; Neale, D. B.",Springer Science + Business Media,2005
,37,How to Connect the Americas: An IS/IT Academic Research Plan for Tomorrow,"Becker, J.",New York; Curran,2009
,38,"AI - Tools, Politics and Legal Theory","Schmidt, A. H. J.;Van Besouw, J.",Koninklijke Vermande,1992
,39,"Mechanical Properties of Boronized AISI 316, AI SI 1040, AISI 1045 and AISI 4140 Steels","Calik, A.; Sahin, O.; Ucar, N.",POLISH ACADEMY OF SCIENCES WARSAW,2009
,40,International AI: Challenges of Competition in a Global Marketplace,"Saacke, R. G.",NAAB,1996
,41,Comparative sensitivities of ThinPrep and Papanicolaou smear for adenocarcinoma in situ (AIS) and combined AIS/high-grade squamous intraepithelial lesion (HSIL): Comparison with HSIL,"Roberts, J. M.; Thurloe, J. K.","John Wiley & Sons, Ltd",2007
,42,AI、ビッグデータの活用により建機故障の予兆をつかむ取り組み : 高齢化、人材不足問題に貢献するソリューションConSite (特集 建設分野におけるAIの適用),江尻 孝一郎 ; 猪瀬 聡志,日本工業出版,2020
,43,Effective Use of Intelligent Software in High School Math Classrooms,"Koedinger, K. R.;Anderson, J. R.",Univ,1993
,44,Cloud-Based AI for Pervasive Applications,"Schmidt, A.",IEEE,2016
,45,Modular Behavior Trees: Language for Fast AI in Open-World Video Games,"Plch, T.; Marko, M.; Ondracek, P.; Cerny, M.; Gemrot, J.; Brom, C.",IOS Press,2014
,46,Write Environment: Using AI Strategies to Model a Writer's Knowledge of Process,"Houlette, Forrest",Association for the Advancement of Computing in Education,1991
,47,AI Dangers: Imagined and Real,Devdatt Dubhashi ; Shalom Lappin,ACM : Association for Computing Machinery,2017
,48,SAI: AI Implication for Child Abuse and Neglect: A Study for Recurrent Cases by pLSA and Bayesian Network,"Takaoka, Kota; Sakamoto, Jiro; Hojo, Daiki; Hashimoto, Emiho; Kitamura, Koji; Sakurai, Eiichi; Nishida, Yoshifumi; Motomura, Yoichi",Japanese Society for Artificial Intelligence,2019
,49,AI-Enhanced Offloading in Edge Computing: When Machine Learning Meets Industrial IoT,"Sun, Wen; Liu, Jiajia; Yue, Yanlin",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2019
,50,Distribution of central blood pressure values estimated by Omron HEM-9000AI in the Japanese general population,"Takase, H.; Dohi, Y.; Kimura, G.",Nature Publishing Group,2013
,51,Mechanistic versus phenomenal embodiment: Can robot embodiment lead to strong AI?,"Sharkey, N. E.; Ziemke, T.",ELSEVIER,2001
,52,Kant and the Software Crisis: Suggestions for the Construction of Human-centred Software Systems,"Bettoni, M. C.",SPRINGER VERLAG KG,1995
,53,Machine Learning for Personalized Medicine: Predicting Primary Myocardial Infarction from Electronic Health Records,"Weiss, J.C.; Natarajan, S.; Peissig, P.L.; McCarty, C.A.; Page, D.",AAAI AMERICAN ASSOCIATION OF ARTIFICIAL,2012
,54,Thesis: Engineering portfolios of Machine Learning algorithms to solve complex tasks in Robotics and Automated Reasoning,"Pulina, L.",IOS-INTERNATIONAL ORGANIZATIONS SERVICES BV,2010
,55,Relating case-based problem solving and learning methods to task and domain characteristics: towards an analytic framework,"Althoff, K.-D.",unknown,1996
,56,An Integrated Model of Web based Information Systems Continuance: Food Traceability System Context,"Hossain, D.; Moon, J.; Choe, Y.C.; Park, H.D.",New York; Curran,2009
,57,"Patch testing and prick testing: A practical guide by Jean-Marie Lachapelle and Howard I. Maibach; Management of positive patch test reactions by J. E. Wahlberg, P. Elsner, L. Kanerva, H. I. Maibach; Irritant dermatitis by Ai-Lean Chew and Howard I. Maibach; Condensed handbook of occupational dermatology by L. Kanerva, P. Elsner, J. E. Wahlberg, H. I. Maibach","Bercovitch, L.","Elsevier Science B. V., Amsterdam",2007
,58,Support Vector Machines and Kernel Methods: The New Generation of Learning Machines,"Cristianini, N.; Scholkopf, B.",AAAI AMERICAN ASSOCIATION OF ARTIFICIAL,2002
,59,Alexa Prize — State of the Art in Conversational AI,"Khatri, Chandra; Venkatesh, Anu; Hedayatnia, Behnam; Ram, Ashwin; Gabriel, Raefer; Prasad, Rohit",AAAI AMERICAN ASSOCIATION OF ARTIFICIAL,2018
,60,A Survey of Real-Time Strategy Game AI Research and Competition in StarCraft,"Ontanon, S.; Synnaeve, G.; Uriarte, A.; Richoux, F.; Churchill, D.; Preuss, M.",Institute of Electrical & Electronics Engineers,2013
,61,Material Properties Prediction by Deep Learning and Explainable AI,Ruho KONDO,日本セラミックス,2020
