,daily_index,A
221,221,공부하면 더 많은 선택을 할 수 있죠.
222,222,같이 수다 떨면서 놀까요?
223,223,나만의 공부방법을 찾아보세요.
224,224,지금도 늦지 않았어요.
225,225,같이 수다 떨면서 놀까요?
226,226,확신이 없나봐요.
227,227,지금처럼 잘될 거예요.
228,228,나한테 맞는 공부 방법 찾는 게 시급하네요.
229,229,잠시 쉬어도 돼요.
230,230,잠시 쉬어도 돼요.
231,231,공부하면 더 많은 선택을 할 수 있죠.
232,232,공부하면 더 많은 선택을 할 수 있죠.
233,233,공부하면 더 많은 선택을 할 수 있죠.
234,234,합격 기원해요!
235,235,잘 될 거예요.
236,236,좋은 결과 있을 거예요!
237,237,잘 될 거예요.
238,238,좋은 결과 있을 거예요!
239,239,친구와 같이 가보세요.
240,240,친구와 같이 가보세요.
241,241,성향 차이가 좀 있기는 하죠.
242,242,꾸준히 약 먹고 치료해보세요.
243,243,꾸준히 약 먹고 치료해보세요.
244,244,피로 풀고 좋죠.
245,245,피로 풀고 좋죠.
246,246,오늘이 중요하죠.
247,247,오늘이 중요하죠.
248,248,소화제 챙겨드세요.
249,249,과식은 금물이에요.
250,250,소화제 드세요.
251,251,안된다고 하면 거짓말이겠지요.
252,252,안된다고 하면 거짓말이겠지요.
253,253,제철과일이 정말 좋아요.
254,254,건강 생각해서 챙겨드세요.
255,255,그래도 먹으려고 노력해보세요.
256,256,그래도 먹으려고 노력해보세요.
257,257,제철과일이 정말 좋아요.
258,258,인간 관계도 정리가 필요해요.
259,259,무관심이 필요할 때가 있죠.
260,260,무관심이 필요할 때가 있죠.
261,261,계단 조심하세요.
262,262,계단 조심하세요.
263,263,채널을 돌려보세요.
264,264,괜찮아지고 있어 다행이에요.
265,265,"남자사람친구, 여자사람친구 하세요."
266,266,많이 지쳤나봐요.
267,267,누군가를 기다린다는게 쉬운게 아니죠.
268,268,늦지 않았어요.
269,269,그 것도 다 경험이라고 생각하세요.
270,270,그럴 필요 없어요.
271,271,그렇지 않아요.
272,272,마음에 드는 책을 잘 찾아보세요.
273,273,저도 듣고 싶어요.
274,274,같은 조가 되길 바랄게요.
275,275,지식 쌓는 재미가 있죠.
276,276,같은 조가 되길 바랄게요.
277,277,지식 쌓는 재미가 있죠.
278,278,저도 듣고 싶어요.
279,279,학점 관리하세요.
280,280,보험 처리하세요.
281,281,보험 처리하세요.
282,282,왜 그럴까요?
283,283,좋은 만남이었길 바라요.
284,284,좋은 만남이었길 바라요.
285,285,일을 몰라서 그런가봐요.
286,286,자신의 삶을 살다보면 기다릴 수 있을 거예요.
287,287,부담스러워하지 않는다면 기다려도 좋을 것 같아요.
288,288,부담스러워하지 않는다면 기다려도 좋을 것 같아요.
289,289,너무 걱정하지 마세요.
290,290,자신의 삶을 살다보면 기다릴 수 있을 거예요.
291,291,군대 시계는 멈추지 않아요.
292,292,군대 시계는 멈추지 않아요.
293,293,좋은 아침이에요.
294,294,안 궁금해요.
295,295,안 궁금해요.
296,296,자세히 말씀해주세요.
297,297,자세히 말씀해주세요.
298,298,병원에 가세요.
299,299,누가 욕하고 있나봐요.
300,300,누가 욕하고 있나봐요.
301,301,병원에 가세요.
302,302,생각하기는 쉬운데 실천하기는 어려운 것 같아요.
303,303,슬픈 이야기네요.
304,304,저도 간절히 기도 할게요.
305,305,그렇게 될 수 있을 거예요.
306,306,추억에 잠길 때도 필요해요.
307,307,후회는 후회를 낳을뿐이에요. 용기 내세요.
308,308,시작이 반이에요. 어서 준비하세요.
309,309,아무도 없는 곳으로 여행을 떠나보세요.
310,310,많이 만나보세요.
311,311,잠깐 바람 쐬고 오세요.
312,312,다른 사람이 답답할 거예요.
313,313,살고 싶은대로 사세요.
314,314,많이 피곤한가봐요.
315,315,피할 수 있으면 피하세요.
316,316,조심히 오세요.
317,317,실천이 말보다 낫죠.
318,318,밥심으로 사는 거죠.
319,319,혼자만 있지 마세요.
320,320,안부를 물어주시다니 감사합니다.
321,321,추억에 잠길 때도 필요해요.
322,322,괜찮은 선택이길 바라요.
323,323,좋은 결과 있을 거예요.
324,324,기쁜 마음으로 베풀고 보답을 바라지 마세요.
325,325,다른 사람 말은 신경쓰지 마세요.
326,326,대인배시군요.
327,327,대인배시군요.
328,328,친구가 좋아하나봐요.
329,329,이야기를 해보세요.
330,330,온전한 이해는 없어요.
331,331,괜찮은 선택이길 바라요.
332,332,학원을 다니거나 연습하면 잘할 수 있을 거예요.
333,333,학원을 다니거나 연습하면 잘할 수 있을 거예요.
334,334,뒷감당 자신 있으면 하세요.
335,335,조금만 드세요
336,336,당신을 소중하게 생각하세요.
337,337,그런 하루도 감사한 마음을 가져보세요.
338,338,좋은 사람과 함께 가세요.
339,339,저 말씀이신가요?
340,340,비싸요.
341,341,비싸요.
342,342,호의인지 호감인지 헷갈리나요?
343,343,뭔가 안풀리는 일이 있나봐요.
344,344,아이를 금수저로 만들어주세요.
345,345,아이를 금수저로 만들어주세요.
346,346,자신을 이겨야해요.
347,347,너무 긴장했나봐요.
348,348,기념일 챙겨주면 좋아할거예요.
349,349,달력에 적어보세요.
350,350,달력에 적어보세요.
351,351,기념일 챙겨주면 좋아할거예요.
352,352,당신의 삶을 응원해 드릴 수 있어요라고 감히 말해 봅니다.
353,353,기다리지 마세요.
354,354,상대방의 선택에 맡겨보세요.
355,355,좋은 분이시군요
356,356,베풀되 보답을 바라지 마세요.
357,357,자신을 사랑할수록 외부의 인정은 필요 없어요.
358,358,상대에게 바라는 기대는 자신을 슬프게 해요.
359,359,베풀되 보답을 바라지 마세요.
360,360,기쁜 마음으로 베풀고 보답을 바라지 마세요.
361,361,의지할 수 있는 사람이 곁에 있다는 건 큰 행운일 거예요.
362,362,자신의 감정을 주변 사람들에게 터놓고 이야기해보세요.
363,363,대중교통을 이용해주세요.
364,364,각자가 생각하는 기본이 다를 수도 있어요.
365,365,각자가 생각하는 기본이 다를 수도 있어요.
366,366,좋은 일 하셨네요.
367,367,좋은 일 하셨네요.
368,368,내일은 오늘보다 나을 거예요.
369,369,정색 한번 해주세요.
370,370,걷다보면 조금 정리가 될 거예요.
371,371,저랑 함께 해요.
372,372,저랑 함께 해요.
373,373,신나는 음악 들어보세요.
374,374,경쾌한 음악 들어보세요.
375,375,왜일까요?
376,376,무슨 이유인지 생각해보세요.
377,377,혼자 사는 것보다 불편하겠죠.
378,378,다음 학기에는 학점 관리를 더 열심히 해봐요.
379,379,혼자 사는 것보다 불편하겠죠.
380,380,혼자 사는 것보다 불편하겠죠.
381,381,다음 학기에는 학점 관리를 더 열심히 해봐요.
382,382,기술을 많이 알면 도움이 되겠죠.
383,383,꿈꾸던 여행이네요.
384,384,꿈꾸던 여행이네요.
385,385,답답한 상황이네요.
386,386,답답한 상황이네요.
387,387,좋겠어요!
388,388,직접 주는 게 더 좋을 것 같아요.
389,389,직접 주는 게 더 좋을 것 같아요.
390,390,직접 주는 게 더 좋을 것 같아요.
391,391,좋겠네요.
392,392,직접 주는 게 더 좋을 것 같아요.
393,393,더 좋은 기회가 올 거예요.
394,394,더 좋은 기회가 올 거예요.
395,395,연예인을 준비하니 일반인보다 다 예쁘겠죠.
396,396,연예인을 준비하니 일반인보다 다 예쁘겠죠.
397,397,그래서 저는 못 기르고 잘라요.
398,398,그래서 저는 못 기르고 잘라요.
399,399,괜찮아지고 있어 다행이에요.
400,400,크게 숨한 번 쉬어 보세요
401,401,크게 숨한 번 쉬어 보세요
402,402,미리 긴장하지 마세요.
403,403,마음에 들면 줘보세요.
404,404,저도 싫어요.
405,405,잘 해보세요.
406,406,마음에 들면 줘보세요.
407,407,잘 해보세요.
408,408,그래도 넘을 수 있을 거예요.
409,409,조심하세요.
410,410,너무 낙담하지 마세요.
411,411,조심하세요.
412,412,미끄러우니 조심하세요.
413,413,건강을 위해 조금씩 드세요.
414,414,마트 갑시다.
415,415,맛있는 식사시간 되시길 바랄게요.
416,416,맛있는 식사시간 되시길 바랄게요.
417,417,맛있죠!
418,418,기다렸나봐요.
419,419,조금만 기다리면 다시 전기가 들어올거예요.
420,420,적당해요.
421,421,스스로 단단해지세요.
422,422,제가 드리고 싶네요.
423,423,집안 분위기가 바뀔 거예요.
424,424,집안 분위기가 바뀔 거예요.
425,425,꽃 선물은 언제나 좋죠.
426,426,꽃 선물은 언제나 좋죠.
427,427,솜씨가 좋으시네요.
428,428,기분 좋아 보이세요.
429,429,기분 좋아 보이세요.
430,430,마음의 안정을 취하기 좋은 취미네요.
431,431,마음의 안정을 취하기 좋은 취미네요.
432,432,벚꽃 계절이 다가왔네요.
433,433,거꾸로 해서 드라이플라워 만들어보세요.
434,434,거꾸로 해서 드라이플라워 만들어보세요.
435,435,부러워요!
436,436,멋진 선물이네요.
437,437,센스있는 선물이에요.
438,438,부러워요!
439,439,센스있는 선물이에요.
440,440,멋진 선물이네요.
441,441,받는 사람이 부럽네요.
442,442,받는 사람이 부럽네요.
443,443,제가 드리고 싶네요.
444,444,저도 즐거워요
445,445,차근차근 이뤄보아요.
446,446,차근차근 이뤄보아요.
447,447,요즘 예민한가봐요.
448,448,많으면 많을 수록 좋죠.
449,449,더 많아도 괜찮아요.
450,450,거창하지 않아도 돼요.
451,451,현실을 꿈처럼 만들어봐요.
452,452,많으면 많을 수록 좋죠.
453,453,현실을 꿈처럼 만들어봐요.
454,454,뜻대로 되는게 많지 않죠.
455,455,마음이 허전하신가봐요.
456,456,잘 해결되길 바라요.
457,457,잘 해결되길 바라요.
458,458,자신을 더 사랑해주세요.
459,459,아니길 바라요.
460,460,잘 아시네요.
461,461,애정표현일 지도 몰라요.
462,462,얼굴에 다 티가 나네요.
463,463,"네, 이제 잘 해낼 차례예요."
464,464,좋은 결과 있을 거예요.
465,465,괜찮은 사람이에요.
466,466,학점 관리하세요.
467,467,바람 좀 쐬고 오시면 좋은텐데.
468,468,밥 사줄 친구를 찾아 보세요~
469,469,짐 빼놓지 말고 싸세요.
470,470,식단조절도 하고 꾸준히 운동하세요.
471,471,충분히 아름다워요.
472,472,꼼꼼한 거예요.
473,473,노트북은 비싸요.
474,474,절대 그렇지 않아요.
475,475,저도 궁금하네요.
476,476,확인해달라고 해보세요.
477,477,시도해봐도 좋겠죠.
478,478,사람들이 몰라줘도 알아주는 사람이 있을 거예요.
479,479,너무 신경쓰지 말고 그러든지 하고 아무렇지도 않게 넘겨보세요.
480,480,너무 신경쓰지 말고 그러든지 하고 아무렇지도 않게 넘겨보세요.
481,481,상대에게 바라는 기대는 자신을 슬프게 해요.
482,482,곰곰히 되짚어보세요.
483,483,즐겁게 속아주세요.
484,484,자책하지 마세요.
485,485,자책하지 마세요.
486,486,안녕히 주무세요.
487,487,당연한 거예요.
488,488,눈치가 빠르시군요.
489,489,그런 생각을 들게 하는 사람 상종하지 마세요.
490,490,그런 생각을 들게 하는 사람 상종하지 마세요.
491,491,무시하세요.
492,492,무시하세요.
493,493,문제는 해결하라고 있는 거죠.
494,494,멍 때리고 있죠.
495,495,성공을 기원합니다.
496,496,긍정적으로 바뀔 수 있어요
497,497,바보는 자기한테 바보라고 하지 않아요.
498,498,저랑 놀아요.
499,499,아닐거예요.
500,500,경찰에 신고하고 취할 수 있는 조취를 취해보세요.
501,501,건강하게 운동해보세요.
502,502,많이 사랑해요!
503,503,축하합니다!
504,504,꼬까옷 개시해보세요.
505,505,자책하지 마세요.
506,506,성공을 기원합니다.
507,507,다음부터 속지 마세요.
508,508,기분나쁘겠어요.
509,509,친구들과 좋은 추억 만들고 오세요.
510,510,가끔 핸드폰없이 살아보세요.
511,511,하늘만큼 땅만큼 축하해요
512,512,잘 생각해보세요.
513,513,곰곰히 되짚어보세요.
514,514,고민하고 있으면 그럴 거예요.
515,515,물리적 나이가 아니라 정신적 나이가 중요하니까요.
516,516,물리적 나이가 아니라 정신적 나이가 중요하니까요.
517,517,괜찮은 사람이에요.
518,518,멍 때리고 있죠.
519,519,얼굴에 다 티가 나네요.
520,520,좋은 태도네요.
521,521,저도 사는데요.
522,522,자신에게 콩깍지가 씌였나봐요.
523,523,축하드려요.
524,524,축하해요!
525,525,친구들과 잘 어울려보세요.
526,526,부모님께 도움을 청해보세요.
527,527,다음에는 다를거예요.
528,528,자책하지마세요.
529,529,충분히 아름다워요.
530,530,정신 차리세요.
531,531,남들 눈은 신경쓰지 마세요.
532,532,거울 앞에 비친 당신을 보세요.
533,533,콕 집어서 물어보세요.
534,534,그 누구도 아닌 자기 걸음을 걸으세요.
535,535,지극히 평범하면서 지극히 특별하죠.
536,536,졸업 축하해요
537,537,지금도 충분히 잘 하고 있어요.
538,538,지금보다 더 잘 살 거예요.
539,539,네 잘생겼어요.
540,540,잘하고 있을 거예요.
541,541,잘하고 있을 거예요.
542,542,저랑 이야기 잘하고 있어요.
543,543,잘하는 걸 아직 못 찾은 걸 수도 있어요.
544,544,"지금처럼, 지금보다 더 잘할 수 있을 거예요."
545,545,그렇지 않아요.
546,546,나 자신에 집중하세요. 언제나 1순위에 자신을 두세요.
547,547,제가 챙겨드리고 싶네요.
548,548,많이 지쳤나봐요.
549,549,많이 지쳤나봐요.
550,550,아무도 없는 곳으로 여행을 떠나보세요.
551,551,많이 지쳤나봐요.
552,552,먼저 다가가 보세요.
553,553,동감이에요.
554,554,지금도 잘하고 있어요.
555,555,제가 당신을 좋아하고 있어요.
556,556,호의인지 호감인지 헷갈리나요?
557,557,저도 좋아해요.
558,558,있어도 예뻐요.
559,559,지금은 괜찮길 바랄게요.
560,560,초심으로 돌아가 열심히 해보세요.
561,561,저도 사는데요.
562,562,제가 챙겨드리고 싶네요.
563,563,제가 따라가려면 멀었네요.
564,564,제가 따라가려면 멀었네요.
565,565,운동 잘하는 사람 멋있죠.
566,566,지금도 인정받고 있어요.
567,567,나를 관찰하고 음식 자체에 집중하세요.
568,568,잠깐 핸드폰을 내려두세요.
569,569,시간을 정해보세요.
570,570,시간을 정해보세요.
571,571,파이팅!
572,572,고치고 싶다는 마음에서 시작하세요.
573,573,얼른 끝내시길 기도할게요.
574,574,온전히 느낄 수 있는 시간이겠네요.
575,575,축구 볼때는 치맥이죠.
576,576,하다보면 늘어요.
577,577,하다보면 늘어요.
578,578,자기개발을 해보세요.
579,579,집에서도 할 게 많아요.
580,580,오늘은 약간의 변화를 줘보세요.
581,581,정색 한번 해주세요.
582,582,절대 그렇지 않아요.
583,583,저도 궁금하네요.
584,584,모자라지 않아요.
585,585,파이팅!
586,586,하나라도 있을 거니 열심히 찾아보세요.
587,587,자책하지마세요.
588,588,서로 다르게 태어난 이유는 저마다의 목소리를 내기 위해서예요. 자신의 목소리를 들어주세요.
589,589,사랑 받기 위해 태어났어요.
590,590,잘해야 한다는 부담감을 버리세요.
591,591,다양하게 경험해보세요.
592,592,현실의 벽에 부딪혔나봐요.
593,593,친구가 들으면 서운해 할 수도 있겠어요.
594,594,뒤통수 맞았나봐요.
595,595,알아봐주는 사람이 있을 거예요.
596,596,당당히 말씀해보세요.
597,597,다이어트 파이팅!
598,598,다음에는 받을 수 있을 거예요.
599,599,근처 산에 가보세요.
600,600,많이 벌수록 좋아요.
601,601,제가 위로 많이 해드릴게요.
602,602,축하드려요!
603,603,고민하고 있으면 그럴 거예요.
604,604,좀 더 알아보고 하세요.
605,605,같이 살고 싶은 사람이 있나봐요.
606,606,커플부터 만드세요.
607,607,잘 하실 거예요!
608,608,같이 가요.
609,609,다 잘 될 거예요.
610,610,같이 놀아요.
611,611,지금 그러고 있어요.
612,612,잊어버리세요.
613,613,상대방을 이해해 주세요.
614,614,아무 것도 안해도 괜찮아요.
615,615,상대방에게 너무 무거운 짐을 주지 마세요.
616,616,기다리는 동안 많은 생각이 들었겠네요.
617,617,그럴 때마다 따끔하게 말해보세요.
618,618,상대방도 미소짓게 해주세요.
619,619,지금 모습도 좋아요
620,620,그런 친구는 거르세요.
621,621,상종하지마세요.
622,622,질질 끌지 마세요.
623,623,애정표현일 지도 몰라요.
624,624,누군가를 기다린다는게 쉬운게 아니죠.
625,625,살다보면 하고 싶은 게 생길 수도 있어요.
626,626,제가 있잖아요.
627,627,스스로 경쟁해야하고 이겨야한다는 강박관념에 사로잡히지 마세요.
628,628,친구를 사귈 수 있을 거예요.
629,629,다른 사람도 그 사람만의 고민과 걱정이 많을거예요.
630,630,그 사람도 설렐 거예요.
631,631,그 사람도 설렐 거예요.
632,632,제가 있잖아요.
633,633,배우자와 대화를 나눠보세요.
634,634,얼른 끝내시길 기도할게요.
635,635,스스로 단단해지세요.
636,636,그 말을 한 사람이 가장 이상할 거예요.
637,637,그 말을 한 사람이 가장 이상할 거예요.
638,638,일 분배를 다시 요청해보세요.
639,639,발전이 없다고 너무 두려워하지 마세요.
640,640,제자리여도 괜찮아요
641,641,다음에는 꼭 진급할 거예요.
642,642,뒤통수 맞았나봐요.
643,643,그런 친구는 거르세요.
644,644,누구나 힘들어요.
645,645,자신과 대화하는 시간이 필요하죠.
646,646,자신과 대화하는 시간이 필요하죠.
647,647,남들이 당신을 볼 때도 그렇게 생각할수있어요.
648,648,꿈은 현실이랑 반대예요.
649,649,전형적인 꼰대 스타일이네요.
650,650,전형적인 꼰대 스타일이네요.
651,651,나이는 숫자일 뿐이예요.
652,652,건강은 어려서부터 챙겨야해요.
653,653,세상 걱정 혼자 다 해서 그래요.
654,654,아름다운 나이테예요.
655,655,진짜 하고 싶은 걸 찾아보세요.
656,656,진짜 하고 싶은 걸 찾아보세요.
657,657,천천히 준비해보세요.
658,658,믿음이 가장 중요하죠.
659,659,선의의 거짓말이길 바라요.
660,660,"깨끗이 씻어보고 섬유유연제나 바디워시, 바디로션, 향수 등을 사용해보세요."
661,661,킁킁
662,662,기대치가 높나봅니다.
663,663,문제는 해결하라고 있는 거죠.
664,664,이야기를 하지 않고 결정했나봐요.
665,665,이야기를 하지 않고 결정했나봐요.
666,666,킁킁
667,667,기대되겠네요.
668,668,제 행운까지 모두 드리고 싶네요.
669,669,오는 말이 고와야 가는 말도 곱다고 말해주세요.
670,670,다른 사람도 그럴 거예요.
671,671,믿음이 가장 중요하죠.
672,672,가을이네요.
673,673,가을이네요.
674,674,도전해 봐도 좋을 거 같아요.
675,675,도전해 봐도 좋을 거 같아요.
676,676,한 번 빠지면 헤어나올 수 없다고 해요.
677,677,같이해보세요.
678,678,한 번 빠지면 헤어나올 수 없다고 해요.
679,679,잘 아시네요.
680,680,중요한 건 노력하는 과정이에요.
681,681,그런 생각은 버리세요.
682,682,지금처럼만 하세요.
683,683,모자라지 않아요.
684,684,다 잘 될 거예요.
685,685,그런 생각은 버리세요.
686,686,제가 더 천재예요.
687,687,따뜻하게 사세요!
688,688,보일러가 난방으로 작동이 되는지 보세요.
689,689,보일러가 난방으로 작동이 되는지 보세요.
690,690,기다리는 동안 많은 생각이 들었겠네요.
691,691,"미스트나 가습기, 젖은 수건 등을 사용해보세요."
692,692,따뜻하게 입으세요.
693,693,따뜻해졌죠.
694,694,하늘 보고 한 번 웃어봐요. 기분이 바뀔 거예요.
